Holiday,Year,Month,Day
"New Year Day",2016,1,1
"Martin Luther King Day",2016,1,18
"President Day",2016,2,15
"Memorial Day",2016,5,30
"Independence Day",2016,7,4
"Labor Day",2016,9,5
"Columbus Day",2016,10,10
"Veterans Day",2016,11,11
"Thanksgiving Day",2016,11,24
"Christmas Day",2016,12,25
"New Year Day",2017,1,1
"Martin Luther King Day",2017,1,16
"President Day",2017,2,20
"Memorial Day",2017,5,29
"Independence Day",2017,7,4
"Labor Day",2017,9,4
"Columbus Day",2017,10,9
"Veterans Day",2017,11,11
"Thanksgiving Day",2017,11,23
"Christmas Day",2017,12,25
"New Year Day",2018,1,1
"Martin Luther King Day",2018,1,15
"President Day",2018,2,19
"Memorial Day",2018,5,28
"Independence Day",2018,7,4
"Labor Day",2018,9,3
"Columbus Day",2018,10,8
"Veterans Day",2018,11,11
"Thanksgiving Day",2018,11,22
"Christmas Day",2018,12,25
